법정동,단지명,주소,세대수,준공연도,브랜드,건축유형,역세권,노선,전용면적,평형,2025.03,거래일,2024.01~03,2022.01~03,2025.05_추정_실거래가,2025.05_보정_추정실거래가,20250521호가,기준단지_평단가,보정_평단가,유사단지,대지지분,추정가,추천 태그,리포트 링크
잠원동,반포 센트럴자이,반포대로 310-8,757.0,2020.0,브랜드,신축,Y,"3,7,9",98.87,40.0,46.85,2024.12,-,-,28.43,28.43,63,0.0,,,,,,
잠원동,반포 센트럴자이,반포대로 310-9,757.0,2020.0,브랜드,신축,Y,"3,7,9",98.96,40.0,-,-,-,-,0.0,0.0,51,0.0,,,,,,
잠원동,반포 센트럴자이,반포대로 310-10,757.0,2020.0,브랜드,신축,Y,"3,7,9",98.99,40.0,42,2024.03,-,-,28.43,28.43,55,0.0,,,,,,
잠원동,반포 센트럴자이,반포대로 310-11,757.0,2020.0,브랜드,신축,Y,"3,7,9",84.95,35.0,40.35,2025.02,35,34,40.35,40.35,50,0.4749852854620365,,,,,,
잠원동,반포 센트럴자이,반포대로 310-12,757.0,2020.0,브랜드,신축,Y,"3,7,9",84.94,35.0,42.5,2025.03,33.2,-,42.5,42.5,-,0.5003531904874029,,,,,,
잠원동,반포 센트럴자이,반포대로 310-13,757.0,2020.0,브랜드,신축,Y,"3,7,9",84.98,35.0,43,2025.03,34.95,35,43.0,43.0,55,0.5060014120969639,,,,,,
잠원동,반포 센트럴자이,반포대로 310-14,757.0,2020.0,브랜드,신축,Y,"3,7,9",59.97,25.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,반포 센트럴자이,반포대로 310-15,757.0,2020.0,브랜드,신축,Y,"3,7,9",59.97,25.0,-,2024.04,26.4,-,0.0,0.0,-,0.0,,,,,,
잠원동,반포 센트럴자이,반포대로 310-16,757.0,2020.0,브랜드,신축,Y,"3,7,9",59.98,24.0,35.3,2025.03,25.95,26.2,35.3,35.3,-,0.5885295098366122,,,,,,
잠원동,한신타워,잠원로3길 8,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",131.99,48.0,11.6,2016.08,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,한신타워,잠원로3길 9,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",131.87,48.0,12.1,2015.1,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,한신타워,잠원로3길 10,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",131.88,48.0,31.7,2025.02,-,-,31.7,31.7,38,0.24037003336366394,,,,,,
잠원동,한신타워,잠원로3길 11,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",131.04,47.0,15.9,2017.09,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,한신타워,잠원로3길 12,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",104.1,39.0,11,2017.04,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,한신타워,잠원로3길 13,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",96.72,36.0,17.85,2019.06,-,-,28.43,24.9,-,0.0,,,,,,
잠원동,한신타워,잠원로3길 14,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",92.04,35.0,10.3,2017.1,-,-,28.43,32.71616541353384,30,0.0,,,,,,
